,open,high,low,close,volume,number_of_trades
2024-08-01 00:00:00+00:00,30013.278724931468,30015.358382790135,30007.975741038892,30010.954053694066,120.07250250590748,104
2024-08-01 00:01:00+00:00,30003.944030601888,30005.338036705645,30001.222262507104,30004.52262629938,95.66868064989455,146
2024-08-01 00:02:00+00:00,29999.892804102954,30004.378785622463,29995.127962106646,30001.39051620448,77.12072294314358,53
2024-08-01 00:03:00+00:00,30006.032565763675,30006.62142049442,30004.7773397048,30004.40676005037,94.86442326250858,85
2024-08-01 00:04:00+00:00,30018.9297878596,30023.85452137419,30016.086645112893,30018.7975544623,125.92042215785422,115
2024-08-01 00:05:00+00:00,30014.151918641604,30014.590733517103,30013.539389325055,30013.364757917112,113.48563041203792,146
2024-08-01 00:06:00+00:00,30006.156938085653,30009.187060501325,30003.201709345714,30006.529513130055,91.7460360822616,61
2024-08-01 00:07:00+00:00,30001.92190317657,30003.21307469008,29999.380425367726,30000.98468499607,108.59133634704067,146
2024-08-01 00:08:00+00:00,30007.640973342735,30008.996292958003,30006.903346091134,30009.6235835901,83.79110752679074,72
2024-08-01 00:09:00+00:00,30008.989452971615,30012.66171624652,30006.95508321451,30008.27336656617,104.88941188157688,143
2024-08-01 00:10:00+00:00,30016.358719959615,30016.194379179815,30012.908665450752,30016.07105961578,152.1022287145257,50
2024-08-01 00:11:00+00:00,30018.789241907692,30019.89528728944,30017.060894088303,30020.214579778265,95.40498179454546,56
2024-08-01 00:12:00+00:00,30024.285326985184,30027.435412876443,30021.766598785165,30023.927707243423,107.66234267462502,104
2024-08-01 00:13:00+00:00,30018.647698536508,30022.075116989898,30012.745802234567,30016.05427476126,113.9093674091071,62
2024-08-01 00:14:00+00:00,30020.83500206164,30025.670354940532,30019.612401497372,30023.727618740217,103.61659776339322,117
2024-08-01 00:15:00+00:00,30029.416142327478,30034.819105389142,30029.798794046386,30030.011018226385,146.89874044090294,106
2024-08-01 00:16:00+00:00,30041.787409836787,30040.72537573145,30038.026221187523,30039.91899733703,94.79920130300273,136
2024-08-01 00:17:00+00:00,30047.548847226837,30049.771288317377,30042.771961630322,30046.800668908905,102.95038952542936,80
2024-08-01 00:18:00+00:00,30045.785149515596,30045.861168590553,30040.847048101463,30043.706254863446,92.16671089938268,56
2024-08-01 00:19:00+00:00,30053.419019405777,30056.049584538596,30049.428712499983,30054.440423088738,99.19956601868734,130
2024-08-01 00:20:00+00:00,30052.0671326489,30057.55305823707,30052.845127653454,30054.06406327309,103.61179484225788,60
2024-08-01 00:21:00+00:00,30055.99398878137,30058.417736525647,30054.525942108336,30053.949867348336,99.49842643621659,110
2024-08-01 00:22:00+00:00,30044.878360397626,30046.764465880005,30043.768443508565,30047.64656510682,101.25477124832992,119
2024-08-01 00:23:00+00:00,30040.56921020239,30044.174795381197,30039.871414239657,30038.782592313357,103.95893143288801,58
2024-08-01 00:24:00+00:00,30040.78794980648,30039.47134840779,30035.69558249014,30039.28797751655,75.17325244910789,132
2024-08-01 00:25:00+00:00,30043.23913074888,30042.99585924307,30039.80030382643,30040.03412696373,81.74863616243749,58
2024-08-01 00:26:00+00:00,30052.61639540119,30056.08022618612,30050.362924419263,30051.016050304654,144.2386152980017,131
2024-08-01 00:27:00+00:00,30049.199336347512,30049.587909705773,30044.098908701755,30049.769613386263,145.7242506983717,130
2024-08-01 00:28:00+00:00,30047.799182923285,30049.965842727102,30049.26096410239,30049.508727743414,78.0780533590763,123
2024-08-01 00:29:00+00:00,30055.611872729038,30059.44735074142,30051.87363450252,30057.98072862305,77.68675167928343,121
2024-08-01 00:30:00+00:00,30065.944504718078,30069.94511954975,30065.664013002846,30065.326785781333,113.63574443636696,103
2024-08-01 00:31:00+00:00,30065.4782652846,30066.26025416157,30061.91526487246,30064.907188243193,121.13293588739674,89
2024-08-01 00:32:00+00:00,30073.37213625083,30074.783401072233,30072.520639274953,30073.60148981843,118.42176306020437,87
